lang,page_title,url,wiki_link,status,reason,ia_url,ia_status
no,Kosterhavets nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2014914/G%C3%A4llande,https://no.wikipedia.org/wiki/Kosterhavets_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2014914/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cce9c0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Djurö nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001217/G%C3%A4llande,https://no.wikipedia.org/wiki/Djurö_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001217/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccf650>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Blå Jungfrun,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002422/G%C3%A4llande,https://no.wikipedia.org/wiki/Blå_Jungfrun,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002422/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131732bd0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Dalby Söderskog nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001829/G%C3%A4llande,https://no.wikipedia.org/wiki/Dalby_Söderskog_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001829/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126acdb50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Björnlandet,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001977/G%C3%A4llande,https://no.wikipedia.org/wiki/Björnlandet,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001977/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cce390>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Pieljekaise nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001218/G%C3%A4llande,https://no.wikipedia.org/wiki/Pieljekaise_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001218/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131733140>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Fulltofta gård naturreservat,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001505/G%C3%A4llande,https://no.wikipedia.org/wiki/Fulltofta_gård_naturreservat,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001505/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cfb200>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Sotterns skärgårds naturreservat,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2000248/G%C3%A4llande,https://no.wikipedia.org/wiki/Sotterns_skärgårds_naturreservat,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2000248/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x126acf770>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Haparanda skärgård,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001222/G%C3%A4llande,https://no.wikipedia.org/wiki/Haparanda_skärgård,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001222/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131356c30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
no,Töfsingdalen nasjonalpark,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2002421/G%C3%A4llande,https://no.wikipedia.org/wiki/Töfsingdalen_nasjonalpark,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2002421/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x13138ad80>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
