url,status
https://kommunsiffror.scb.se/?id1=0227,ERROR
https://kommunsiffror.scb.se/?id1=2308,ERROR
https://kommunsiffror.scb.se/?id1=1123,ERROR
https://kommunsiffror.scb.se/?id1=1512,ERROR
https://kommunsiffror.scb.se/?id1=0315,ERROR
https://kommunsiffror.scb.se/?id1=0403,ERROR
https://kommunsiffror.scb.se/?id1=2032,ERROR
https://kommunsiffror.scb.se/?id1=0109,ERROR
https://kommunsiffror.scb.se/?id1=1511,ERROR
https://kommunsiffror.scb.se/?id1=0222,ERROR
https://kommunsiffror.scb.se/?id1=0504,ERROR
https://kommunsiffror.scb.se/?id1=1218,ERROR
https://kommunsiffror.scb.se/?id1=0503,200
https://kommunsiffror.scb.se/?id1=2134,200
https://kommunsiffror.scb.se/?id1=1142,200
https://kommunsiffror.scb.se/?id1=0634,200
https://kommunsiffror.scb.se/?id1=1103,200
https://kommunsiffror.scb.se/?id1=1505,ERROR
https://kommunsiffror.scb.se/?id1=0309,200
https://kommunsiffror.scb.se/?id1=0411,200
https://kommunsiffror.scb.se/?id1=0237,ERROR
https://kommunsiffror.scb.se/?id1=0904,ERROR
https://kommunsiffror.scb.se/?id1=1531,ERROR
https://kommunsiffror.scb.se/?id1=1130,ERROR
https://kommunsiffror.scb.se/?id1=1201,ERROR
https://kommunsiffror.scb.se/?id1=1013,ERROR
https://kommunsiffror.scb.se/?id1=1532,ERROR
https://kommunsiffror.scb.se/?id1=1733,ERROR
https://kommunsiffror.scb.se/?id1=2128,200
https://kommunsiffror.scb.se/?id1=1109,200
https://kommunsiffror.scb.se/?id1=1627,ERROR
https://kommunsiffror.scb.se/?id1=0185,200
https://kommunsiffror.scb.se/?id1=0285,ERROR
https://kommunsiffror.scb.se/?id1=2412,ERROR
https://kommunsiffror.scb.se/?id1=2409,ERROR
https://kommunsiffror.scb.se/?id1=0262,ERROR
https://kommunsiffror.scb.se/?id1=0620,ERROR
https://kommunsiffror.scb.se/?id1=0823,ERROR
https://kommunsiffror.scb.se/?id1=0828,ERROR
https://kommunsiffror.scb.se/?id1=1232,ERROR
https://kommunsiffror.scb.se/?id1=1226,ERROR
https://kommunsiffror.scb.se/?id1=2413,ERROR
