orgnr,wikidata_item,wikidata_label
2120002130,http://www.wikidata.org/entity/Q501551,Vansbro kommun
2120002148,http://www.wikidata.org/entity/Q504266,Malung-Sälens kommun
2120002155,http://www.wikidata.org/entity/Q2642771,Gagnefs kommun
2120002163,http://www.wikidata.org/entity/Q509651,Leksands kommun
2120002171,http://www.wikidata.org/entity/Q504244,Rättviks kommun
2120002189,http://www.wikidata.org/entity/Q504630,Orsa kommun
2120002197,http://www.wikidata.org/entity/Q123855,Älvdalens kommun
2120002205,http://www.wikidata.org/entity/Q505046,Smedjebackens kommun
2120002213,http://www.wikidata.org/entity/Q504239,Mora kommun
2120002221,http://www.wikidata.org/entity/Q501545,Falu kommun
2120002239,http://www.wikidata.org/entity/Q503209,Borlänge kommun
2120002247,http://www.wikidata.org/entity/Q1345439,Säters kommun
2120002254,http://www.wikidata.org/entity/Q507684,Hedemora kommun
2120002262,http://www.wikidata.org/entity/Q500071,Avesta kommun
2120002270,http://www.wikidata.org/entity/Q503184,Ludvika kommun
2120002288,http://www.wikidata.org/entity/Q505109,Ockelbo kommun
2120002296,http://www.wikidata.org/entity/Q62464,Hofors kommun
2120002304,http://www.wikidata.org/entity/Q505085,Ovanåkers kommun
2120002312,http://www.wikidata.org/entity/Q514805,Nordanstigs kommun
2120002320,http://www.wikidata.org/entity/Q515235,Ljusdals kommun
2120002338,http://www.wikidata.org/entity/Q510010,Gävle kommun
2120002346,http://www.wikidata.org/entity/Q149539,Sandvikens kommun
2120002353,http://www.wikidata.org/entity/Q145835,Söderhamns kommun
2120002361,http://www.wikidata.org/entity/Q62469,Bollnäs kommun
2120002379,http://www.wikidata.org/entity/Q29963,Hudiksvalls kommun
2120002387,http://www.wikidata.org/entity/Q271107,Ånge kommun
2120002395,http://www.wikidata.org/entity/Q504983,Timrå kommun
2120002403,http://www.wikidata.org/entity/Q209634,Härnösands kommun
2120002411,http://www.wikidata.org/entity/Q504994,Sundsvalls kommun
2120002429,http://www.wikidata.org/entity/Q514815,Kramfors kommun
2120002437,http://www.wikidata.org/entity/Q221990,Sollefteå kommun
2120002445,http://www.wikidata.org/entity/Q298003,Örnsköldsviks kommun
2120002452,http://www.wikidata.org/entity/Q515342,Ragunda kommun
2120002460,http://www.wikidata.org/entity/Q504261,Bräcke kommun
2120002478,http://www.wikidata.org/entity/Q514707,Krokoms kommun
2120002486,http://www.wikidata.org/entity/Q514770,Strömsunds kommun
